Rating,DISA [K],Altitude [ft],Mach,Thrust [N],Fuel Flow [kg/s],SFC [kg/s/N]
40,0,15000,0.9,43037.34858,0.751446364,1.75E-05
21,0,15000,0.9,-3547.524136,0.057706596,-1.63E-05
50,0,15000,1,54040.02089,0.984726235,1.82E-05
45,0,15000,1,47301.50814,0.870531126,1.84E-05
40,0,15000,1,41383.0259,0.774861929,1.87E-05
21,0,15000,1,-4545.822409,0.052774408,-1.16E-05
50,0,20000,0,72273.22456,0.653086974,9.04E-06
45,0,20000,0,69132.15056,0.598027756,8.65E-06
40,0,20000,0,66037.42606,0.562466212,8.52E-06
21,0,20000,0,6207.275628,0.09013573,1.45E-05
50,0,20000,0.1,68433.34177,0.686375117,1.00E-05
45,0,20000,0.1,64917.90607,0.622688695,9.59E-06
40,0,20000,0.1,61548.64954,0.580456329,9.43E-06
21,0,20000,0.1,5212.542769,0.088409464,1.70E-05
50,0,20000,0.2,63798.38592,0.695852213,1.09E-05
45,0,20000,0.2,60186.68566,0.628853929,1.04E-05
40,0,20000,0.2,56810.29845,0.584581116,1.03E-05
21,0,20000,0.2,4217.80991,0.086683198,2.06E-05
50,0,20000,0.3,60247.29652,0.711488827,1.18E-05
45,0,20000,0.3,56439.50202,0.639951351,1.13E-05
40,0,20000,0.3,52941.89294,0.592575243,1.12E-05
21,0,20000,0.3,3223.077051,0.084956933,2.64E-05
50,0,20000,0.4,57680.24403,0.731945563,1.27E-05
45,0,20000,0.4,53523.04513,0.653514868,1.22E-05
40,0,20000,0.4,49832.90708,0.602092745,1.21E-05
21,0,20000,0.4,2228.344192,0.083230667,3.74E-05
50,0,20000,0.5,55897.56865,0.758556555,1.36E-05
45,0,20000,0.5,51184.17501,0.668311431,1.31E-05
40,0,20000,0.5,47112.54443,0.611436711,1.30E-05
21,0,20000,0.5,1351.267936,0.080517964,5.96E-05
50,0,20000,0.6,54642.56527,0.784689249,1.44E-05
45,0,20000,0.6,49376.54217,0.688040181,1.39E-05
40,0,20000,0.6,44844.98142,0.623541589,1.39E-05
21,0,20000,0.6,509.8450846,0.077065433,0.000151155
50,0,20000,0.7,53633.5709,0.809309104,1.51E-05
45,0,20000,0.7,47800.65713,0.707768932,1.48E-05
40,0,20000,0.7,42737.8591,0.634623172,1.48E-05
