Altitude,Mach,CL,LOD ,CD Total,,
20000,0.3,0.101569024,4.317856282,0.023523021,,
20000,0.3,0.203138048,8.553804406,0.023748269,,
20000,0.3,0.304707071,12.22912764,0.024916501,,
20000,0.3,0.406276095,15.01378926,0.027060197,,
20000,0.3,0.507845119,16.80658674,0.030217029,,
20000,0.3,0.609414143,17.69199038,0.034445765,,
20000,0.3,0.710983166,17.85963522,0.039809501,,
20000,0.3,0.81255219,17.52315285,0.046370205,,
20000,0.3,0.914121214,16.86929429,0.054188468,,
20000,0.3,1.218828285,14.21063398,0.085768748,,
20000,0.3,1.439390485,12.31731978,0.116859066,,
20000,0.4,0,0,0.023264223,,
20000,0.4,0.101569024,4.500126649,0.022570259,,
20000,0.4,0.203138048,8.913160829,0.022790798,,
20000,0.4,0.304707071,12.72508601,0.023945384,,
20000,0.4,0.406276095,15.5876317,0.026064004,,
20000,0.4,0.507845119,17.40391059,0.029179943,,
20000,0.4,0.609414143,18.27562649,0.033345732,,
20000,0.4,0.710983166,18.4098573,0.0386197,,
20000,0.4,0.81255219,18.03299073,0.045059203,,
20000,0.4,0.914121214,17.33904071,0.052720403,,
20000,0.4,1.218828285,14.58393076,0.083573373,,
20000,0.4,1.439390485,12.6422213,0.113855821,,
20000,0.5,0,0,0.022514276,,
20000,0.5,0.101569024,4.654268393,0.021822769,,
20000,0.5,0.203138048,9.217786897,0.022037616,,
20000,0.5,0.304707071,13.14798986,0.023175183,,
20000,0.5,0.406276095,16.08229358,0.025262323,,
20000,0.5,0.507845119,17.92767876,0.028327433,,
20000,0.5,0.609414143,18.80041637,0.032414928,,
20000,0.5,0.710983166,18.92066383,0.037577073,,
20000,0.5,0.81255219,18.52375983,0.043865403,,
20000,0.5,0.914121214,17.80854946,0.05133047,,
20000,0.5,1.218828285,14.99669448,0.081273129,,
20000,0.5,1.439390485,13.02124575,0.110541688,,
20000,0.6,0,0,0.022377399,,
20000,0.6,0.101569024,4.682842338,0.02168961,,
20000,0.6,0.203138048,9.276363959,0.021898456,,
20000,0.6,0.304707071,13.23861208,0.023016542,,
20000,0.6,0.406276095,16.20759771,0.025067015,,
20000,0.6,0.507845119,18.08995068,0.028073328,,
20000,0.6,0.609414143,19.00253603,0.032070148,,
20000,0.6,0.710983166,19.1627834,0.037102291,,
20000,0.6,0.81255219,18.80283175,0.043214352,,
20000,0.6,0.914121214,18.11928692,0.050450176,,
20000,0.6,1.218828285,15.36511096,0.079324405,,
20000,0.6,1.439390485,13.38029741,0.107575373,,
20000,0.7,0,0,0.021759508,,
20000,0.7,0.101569024,4.818732596,0.021077954,,
20000,0.7,0.203138048,9.544948546,0.021282257,,
20000,0.7,0.304707071,13.6146822,0.02238077,,
20000,0.7,0.406276095,16.65581679,0.024392445,,
20000,0.7,0.507845119,18.56424225,0.027356092,,
20000,0.7,0.609414143,19.41896773,0.031382417,,
20000,0.7,0.710983166,19.47997712,0.036498152,,
20000,0.7,0.81255219,19.01152837,0.042739972,,
20000,0.7,0.914121214,18.22991192,0.050144028,,
20000,0.7,1.218828285,15.30520672,0.079634879,,
20000,0.7,1.439390485,13.3171956,0.108085105,,
20000,0.75,0,0,0.022444196,,
20000,0.75,0.101569024,4.666258857,0.021766693,,
20000,0.75,0.203138048,9.246493989,0.021969197,,
20000,0.75,0.304707071,13.21492212,0.023057803,,
20000,0.75,0.406276095,16.21911938,0.025049208,,
20000,0.75,0.507845119,18.06813505,0.028107224,,
20000,0.75,0.609414143,18.76453704,0.032476908,,
20000,0.75,0.710983166,18.75861531,0.037901687,,
20000,0.75,0.81255219,18.28374953,0.044441223,,
20000,0.75,0.914121214,17.53754175,0.05212368,,
20000,0.75,1.218828285,14.86789122,0.081977213,,
20000,0.75,1.439390485,13.06380813,0.110181539,,
20000,0.775,0,0,0.023241942,,
20000,0.775,0.101569024,4.473611144,0.022704035,,
20000,0.775,0.203138048,8.868308372,0.022906065,,
20000,0.775,0.304707071,12.7014451,0.023989953,,
20000,0.775,0.406276095,15.64333225,0.025971199,,
20000,0.775,0.507845119,17.46981046,0.02906987,,
20000,0.775,0.609414143,18.11055817,0.033649661,,
20000,0.775,0.710983166,18.08204075,0.039319852,,
20000,0.775,0.81255219,17.64041908,0.046061955,,
20000,0.775,0.914121214,16.98142879,0.053830642,,
20000,0.775,1.218828285,14.54963004,0.083770397,,
20000,0.775,1.439390485,12.87828487,0.111768803,,
20000,0.8,0,0,0.024673876,,
20000,0.8,0.101569024,4.205669439,0.024150501,,
20000,0.8,0.203138048,8.33471151,0.024372535,,
20000,0.8,0.304707071,11.95847538,0.025480428,,
20000,0.8,0.406276095,14.78031926,0.02748764,,
20000,0.8,0.507845119,16.52279541,0.030736029,,
20000,0.8,0.609414143,17.103513,0.035630934,,
20000,0.8,0.710983166,17.12387408,0.041519995,,
20000,0.8,0.81255219,16.77443433,0.048439916,,
20000,0.8,0.914121214,16.2106049,0.056390321,,
20000,0.8,1.218828285,14.09797363,0.086454147,,
20000,0.8,1.439390485,12.58771865,0.114348797,,
20000,0.825,0,0,0.026994507,,
20000,0.825,0.101569024,3.833808088,0.026492986,,
20000,0.825,0.203138048,7.590208216,0.026763172,,
20000,0.825,0.304707071,10.90462369,0.027942924,,
20000,0.825,0.406276095,13.52265954,0.030044097,,
20000,0.825,0.507845119,15.16414125,0.03348987,,
20000,0.825,0.609414143,15.71974291,0.038767437,,
20000,0.825,0.710983166,15.79619743,0.045009767,,
20000,0.825,0.81255219,15.56436696,0.052205926,,
20000,0.825,0.914121214,15.12862165,0.060423298,,
20000,0.825,1.218828285,13.34742547,0.091315609,,
20000,0.825,1.439390485,12.03169559,0.11963322,,
25000,0.2,0,0,0.026475234,,
25000,0.2,0.101569024,3.956594915,0.025670817,,
25000,0.2,0.203138048,7.869644216,0.025812863,,
25000,0.2,0.304707071,11.31675593,0.026925302,,
25000,0.2,0.406276095,13.98905357,0.029042429,,
25000,0.2,0.507845119,15.76895775,0.03220537,,
25000,0.2,0.609414143,16.70668455,0.036477264,,
25000,0.2,0.710983166,16.9585911,0.04192466,,
25000,0.2,0.81255219,16.7147573,0.048612862,,
25000,0.2,0.914121214,16.14893688,0.056605659,,
25000,0.2,1.218828285,13.69144342,0.089021168,,
25000,0.2,1.439390485,11.89210907,0.121037444,,
25000,0.3,0,0,0.024707519,,
25000,0.3,0.101569024,4.229951308,0.024011866,,
25000,0.3,0.203138048,8.381280033,0.024237115,,
25000,0.3,0.304707071,11.99381654,0.025405347,,
25000,0.3,0.406276095,14.74737598,0.027549043,,
25000,0.3,0.507845119,16.53902125,0.030705875,,
25000,0.3,0.609414143,17.44442333,0.034934611,,
25000,0.3,0.710983166,17.64298629,0.040298346,,
25000,0.3,0.81255219,17.34034706,0.04685905,,
25000,0.3,0.914121214,16.7184733,0.054677314,,
25000,0.3,1.218828285,14.13009849,0.086257593,,
25000,0.3,1.439390485,12.26600849,0.117347912,,
25000,0.4,0,0,0.023713688,,
25000,0.4,0.101569024,4.41226072,0.023019724,,
25000,0.4,0.203138048,8.740780946,0.023240263,,
25000,0.4,0.304707071,12.49063157,0.024394849,,
25000,0.4,0.406276095,15.32338507,0.026513469,,
25000,0.4,0.507845119,17.13990097,0.029629408,,
25000,0.4,0.609414143,18.03256667,0.033795197,,
25000,0.4,0.710983166,18.19806402,0.039069165,,
25000,0.4,0.81255219,17.85488844,0.045508668,,
25000,0.4,0.914121214,17.19246724,0.053169868,,
25000,0.4,1.218828285,14.50591665,0.084022838,,
25000,0.4,1.439390485,12.59251024,0.114305286,,
25000,0.5,0,0,0.022932563,,
25000,0.5,0.101569024,4.566735886,0.022241055,,
25000,0.5,0.203138048,9.046087216,0.022455902,,
25000,0.5,0.304707071,12.9148906,0.023593469,,
25000,0.5,0.406276095,15.82034442,0.02568061,,
25000,0.5,0.507845119,17.66680872,0.028745719,,
25000,0.5,0.609414143,18.56090374,0.032833215,,
25000,0.5,0.710983166,18.71236819,0.03799536,,
25000,0.5,0.81255219,18.34879139,0.04428369,,
25000,0.5,0.914121214,17.66460234,0.051748757,,
25000,0.5,1.218828285,14.91990664,0.081691415,,
25000,0.5,1.439390485,12.97215942,0.110959975,,
25000,0.6,0,0,0.022270534,,
25000,0.6,0.101569024,4.706029006,0.021582745,,
25000,0.6,0.203138048,9.321854838,0.021791591,,
25000,0.6,0.304707071,13.30036521,0.022909677,,
25000,0.6,0.406276095,16.27698932,0.02496015,,
25000,0.6,0.507845119,18.15907571,0.027966463,,
25000,0.6,0.609414143,19.06606849,0.031963283,,
25000,0.6,0.710983166,19.21813702,0.036995426,,
25000,0.6,0.81255219,18.84944465,0.043107487,,
25000,0.6,0.914121214,18.15774918,0.050343311,,
25000,0.6,1.218828285,15.3858388,0.079217539,,
25000,0.6,1.439390485,13.39360257,0.107468508,,
25000,0.7,0,0,0.022187098,,
25000,0.7,0.101569024,4.722923016,0.021505543,,
25000,0.7,0.203138048,9.356954812,0.021709846,,
