ID,SLST,BPR,OPR,FPR,SFC,T_EoR,T_ToC,T_MdC,Category
145,38810.22964,5.494560829,27.21299107,1.66007269,0.636,29887,6425,4861,0
146,38422.45723,5.442144852,27.21774613,1.642800824,0.634,29625,6437,4885,0
147,38422.45723,5.442144852,27.20822661,1.642800824,0.634,29626,6438,4886,0
148,38422.45723,5.433826025,27.3059981,1.642817463,0.634,29626,6438,4888,0
149,38528.46505,5.394422274,27.1368701,1.686170841,0.636,29749,6439,4880,0
150,39010.25668,5.375217913,28.9357029,1.659857578,0.635,30016,6440,4893,0
151,38798.24827,5.433592275,28.07034664,1.642817463,0.634,29866,6441,4888,0
152,38422.45723,5.433592275,27.21774613,1.642817463,0.634,29631,6445,4893,0
153,38422.45723,5.433592275,27.21774613,1.642817463,0.634,29631,6445,4893,0
154,39010.25668,5.375217913,28.76043525,1.659857578,0.634,30029,6454,4905,0
155,38798.24827,5.473473943,27.37388843,1.641405128,0.635,29882,6459,4896,0
156,38220.53549,5.263451883,28.61869608,1.618743444,0.633,29496,6464,4944,0
157,39257.39017,5.451567663,28.80205754,1.614401799,0.636,30148,6469,4911,0
158,36736.44225,5.022364588,27.38120737,1.652818957,0.63,28602,6472,4988,0
159,37298.26855,5.057840862,28.56215918,1.654645913,0.629,28951,6480,4989,0
160,38495.75529,5.327436713,28.17627411,1.625663879,0.633,29696,6492,4954,0
161,38837.65061,5.451342523,27.22268339,1.645109231,0.634,29939,6495,4927,0
162,38625.35557,5.30628247,28.38950226,1.654081552,0.632,29810,6499,4956,0
163,38798.24827,5.442664199,27.21299107,1.641428826,0.634,29915,6502,4936,0
164,38798.24827,5.433592275,27.28226542,1.642817463,0.634,29917,6504,4939,0
165,38798.24827,5.433592275,27.28226542,1.642817463,0.634,29917,6504,4939,0
166,38801.37353,5.433592275,27.28212225,1.642817463,0.634,29920,6505,4939,0
167,38798.24827,5.433592275,27.21774613,1.642817463,0.634,29922,6509,4943,0
168,38798.24827,5.433416196,27.21299107,1.641445464,0.634,29922,6511,4945,0
169,38837.65061,5.423873264,27.31093535,1.642727394,0.633,29953,6518,4952,0
170,39010.25668,5.375217913,28.43963081,1.624707757,0.634,30042,6520,4966,0
171,37587.13676,5.058241576,28.53545576,1.661539869,0.628,29181,6532,5027,0
172,37711.55827,5.037109349,28.96890869,1.656138811,0.628,29264,6544,5041,0
173,37587.13676,5.037109349,28.47246494,1.65620402,0.628,29196,6553,5049,0
174,37587.13676,5.037109349,28.47246494,1.65620402,0.628,29196,6553,5049,0
175,37587.13676,5.037109349,28.47246494,1.669052839,0.628,29203,6553,5045,0
176,37711.55827,5.037109349,28.76150062,1.656138811,0.628,29276,6557,5052,0
177,39456.12231,5.399154085,28.52566266,1.626170464,0.634,30364,6567,4996,0
178,37609.20092,5.025957326,28.4301257,1.663555946,0.628,29228,6570,5061,0
179,39456.12231,5.398574929,28.44443746,1.624441308,0.634,30369,6575,5003,0
180,38770.5662,5.213312857,28.76150062,1.657471796,0.63,29969,6583,5038,0
181,38856.80819,5.193730184,29.10317845,1.662532654,0.63,30030,6584,5041,0
182,37718.94511,5.043964092,28.26045042,1.657492832,0.628,29307,6584,5071,0
183,38936.49785,5.263451883,28.61869608,1.618743444,0.633,30050,6587,5039,0
184,38773.56403,5.201163427,28.76150062,1.657471796,0.63,29981,6596,5050,0
185,38773.56403,5.201163427,28.76150062,1.657471796,0.63,29981,6596,5050,0
186,37752.36462,5.036720239,28.26397243,1.666799248,0.628,29343,6596,5080,0
187,37968.96022,5.037300353,28.41396056,1.624947653,0.632,29472,6598,5082,0
188,38462.40027,5.134520086,28.86130831,1.656493999,0.629,29783,6598,5065,0
189,38773.56403,5.195306091,28.73312156,1.661756031,0.63,29988,6599,5052,0
190,37759.66741,5.036504674,28.2489736,1.661769651,0.628,29347,6599,5082,0
191,37838.45524,5.04493333,28.32784951,1.669435741,0.628,29402,6600,5081,0
