ID,ThrustSLS,WingSpan,WingSweep,WingTCR,MTOW,Range,TOFL,AppSpeed
272,24000,98,32,0.093,165846.4607,1291.933686,8759.545571,143.8340625
273,24000,98,32,0.096,166582.688,1338.283748,8844.030744,144.1529656
274,24000,98,32,0.099,167330.3,1384.08786,8930.770097,144.4760797
275,24000,98,32,0.102,168088.2777,1429.227831,9019.703001,144.8029376
276,24000,98,32,0.105,168855.7188,1473.398176,9110.779674,145.1331264
277,24000,98,32,0.108,169631.8218,1516.678019,9203.959747,145.4662797
278,24000,98,32,0.111,170415.8718,1559.002096,9299.211071,145.8020713
279,24000,98,32,0.114,171207.2297,1600.323451,9396.508719,146.1402102
280,24000,98,32,0.117,172005.322,1639.725329,9495.834158,146.480436
281,24000,98,33,0.09,165264.8074,1237.853667,8693.443647,143.5817484
282,24000,98,33,0.093,165984.7346,1284.653064,8775.343124,143.8940095
283,24000,98,33,0.096,166717.4775,1330.949807,8859.598257,144.2112731
284,24000,98,33,0.099,167461.8156,1376.66013,8946.128726,144.5328441
285,24000,98,33,0.102,168216.7116,1421.671317,9034.872078,144.8582471
286,24000,98,33,0.105,168981.2466,1466.526488,9125.776936,145.1870617
287,24000,98,33,0.108,169754.6045,1510.171723,9218.801529,145.5189149
288,24000,98,33,0.111,170536.0575,1552.797434,9313.912472,145.8534747
289,24000,98,33,0.114,171324.9547,1594.330178,9411.083745,146.1904449
290,24000,98,33,0.117,172120.7121,1634.921132,9510.295846,146.5295603
291,24000,98,34,0.09,165417.8501,1230.687326,8710.781414,143.6482165
292,24000,98,34,0.093,166133.7698,1277.350566,8792.406247,143.958594
293,24000,98,34,0.096,166862.7562,1323.426338,8876.412091,144.2740916
294,24000,98,34,0.099,167603.565,1368.959006,8962.716193,144.5940005
295,24000,98,34,0.102,168355.1386,1413.938356,9051.254122,144.9178363
296,24000,98,34,0.105,169116.5407,1458.699427,9141.972771,145.2451707
297,24000,98,34,0.108,169886.9392,1503.13206,9234.828847,145.5756236
298,24000,98,34,0.111,170665.5924,1545.971964,9329.787624,145.9088566
299,24000,98,34,0.114,171451.8367,1587.898306,9426.821897,146.2445678
300,24000,98,34,0.117,172245.077,1628.767988,9525.911114,146.5824869
301,24000,102,25,0.09,169135.8341,1526.207533,8365.015304,139.5575376
302,24000,102,25,0.093,169989.7794,1577.985529,8455.113039,139.909091
303,24000,102,25,0.096,170855.6071,1628.114542,8547.573358,140.2649477
304,24000,102,25,0.099,171732.1251,1676.144953,8642.332947,140.6242809
305,24000,102,25,0.102,172618.3733,1720.224735,8739.350243,140.9866718
306,24000,102,25,0.105,173513.5013,1759.153392,8838.593153,141.3517504
307,24000,102,25,0.108,174416.7539,1795.81186,8940.037869,141.7191893
308,24000,102,25,0.111,175327.4575,1829.0738,9043.667867,142.0886972
309,24000,102,25,0.114,176245.0099,1859.098968,9149.473093,142.4600146
310,24000,102,25,0.117,177168.8711,1888.655131,9257.449268,142.8329097
311,24000,102,26,0.09,169221.5796,1521.080288,8374.013593,139.5927418
312,24000,102,26,0.093,170073.3872,1573.140022,8463.992358,139.9434925
313,24000,102,26,0.096,170937.1586,1623.689978,8556.340358,140.2984182
314,24000,102,26,0.099,171811.7447,1672.213156,8650.998984,140.6568751
315,24000,102,26,0.102,172696.1743,1718.215463,8747.925725,141.0184397
316,24000,102,26,0.105,173589.5874,1760.354581,8847.08767,141.382738
317,24000,102,26,0.108,174491.2201,1798.669426,8948.460283,141.7494386
318,24000,102,26,0.111,175400.3911,1833.467599,9052.026406,142.118247
319,24000,102,26,0.114,176316.4914,1864.869279,9157.775422,142.4889006
320,24000,102,26,0.117,177238.9747,1892.970687,9265.702557,142.861165
321,24000,102,27,0.09,169315.2287,1514.990264,8383.853618,139.6313638
322,24000,102,27,0.093,170164.6409,1567.805124,8473.695603,139.9810304
323,24000,102,27,0.096,171026.1672,1618.704049,8565.920542,140.3349401
324,24000,102,27,0.099,171898.6439,1667.789636,8660.468537,140.6924407
325,24000,102,27,0.102,172781.0878,1714.534052,8757.296047,141.0531036
326,24000,102,27,0.105,173672.6284,1760.086845,8856.369254,141.4165503
327,24000,102,27,0.108,174572.4923,1800.478125,8957.662834,141.7824452
328,24000,102,27,0.111,175479.9899,1836.971706,9061.158929,142.1504902
329,24000,102,27,0.114,176394.5047,1869.966899,9166.846306,142.5204195
330,24000,102,27,0.117,177315.4835,1899.508749,9274.719647,142.8919956
331,24000,102,28,0.09,169417.1447,1508.561538,8394.576921,139.673383
332,24000,102,28,0.093,170263.9493,1561.805687,8484.269458,140.0218702
333,24000,102,28,0.096,171123.0314,1613.292476,8576.359932,140.3746744
334,24000,102,28,0.099,171993.2117,1662.904463,8670.787036,140.7311346
335,24000,102,28,0.102,172873.4938,1710.30622,8767.5061,141.0908165
336,24000,102,28,0.105,173762.9959,1756.616512,8866.482322,141.4533366
337,24000,102,28,0.108,174660.9342,1801.205642,8967.689508,141.8183549
338,24000,102,28,0.111,175566.6101,1839.53332,9071.109039,142.1855693
339,24000,102,28,0.114,176479.3987,1874.275143,9176.72901,142.5547104
340,24000,102,28,0.117,177398.7397,1905.45563,9284.543506,142.9255376
341,24000,102,29,0.09,169527.7864,1501.882614,8406.235613,139.7189854
342,24000,102,29,0.093,170371.7591,1555.091738,8495.765221,140.0661926
343,24000,102,29,0.096,171228.1869,1607.460674,8587.709097,140.4177972
344,24000,102,29,0.099,172095.8733,1657.502051,8682.004392,140.7731282
345,24000,102,29,0.102,172973.8079,1705.612116,8778.605208,141.1317455
346,24000,102,29,0.105,173861.0963,1752.489583,8877.475664,141.4932599
347,24000,102,29,0.108,174756.9435,1798.6929,8978.588622,141.8573268
