ID,WingArea,WingAspectRatio,Sweep,TaperRatio,Scale_MTO_new,Scale_MCL_new,Scale_MCR_new,BlockFuel,RampWeight,TakeoffFieldLength,LandingFieldLength,ClimbTime,ApproachSpeed,EndOfRunwayThrust,TopOfTheClimbThrust,MidCruiseThrust,Category
622,1399.727339,11.98546425,28.15786704,0.22785332,1.039734841,1.022729903,1.01296588,35875.1,150445.6,6332.13,5735,20.1,124,17493.35,5457,3307.52276,0
719,1399.727339,11.98546425,28.15786704,0.22785332,1.039734841,1.022729903,1.01296588,35875.1,150445.6,6332.13,5735,20.1,124,17493.35,5457,3307.52276,0
725,1399.63951,11.99635308,28.19745296,0.227962244,1.040977884,1.028811842,1.021744858,35868.6,150438,6332.12,5735,19.9,124,17493.25,5483,3306.842271,0
616,1399.769968,11.9414157,28.15318019,0.227267661,1.041339473,1.039970869,0.966582447,35888.5,150457.6,6332.11,5735,19.5,124,17493.6,5541.5,3311.054177,0
656,1399.484699,11.98546425,28.15886461,0.229541649,1.048834867,1.0243546,1.011378892,35867,150429.4,6332.06,5735,20.4,124,17493.2,5418,3307.075287,0
854,1399.734773,11.98773808,28.15315017,0.235538349,1.049745862,1.020743263,1.008526513,35883,150444.6,6332.06,5735,20.6,124,17493.35,5394,3308.640673,0
785,1399.449263,11.98546425,28.15315017,0.221785262,1.036479999,0.966899144,0.961616429,35854.1,150427.5,6332.05,5735,22.5,124,17493.15,5174,3304.531201,0
750,1399.484699,11.98546425,28.15886461,0.229541649,1.049264812,1.022577191,1.011378892,35867.1,150429.1,6332.04,5735,20.5,124,17493.2,5406,3307.023081,0
703,1399.459899,11.98775083,28.15838653,0.221353662,1.036287534,1.038129157,1.003378577,35853.6,150427.2,6331.99,5735,19.3,124,17493.2,5560.5,3306.211302,0
775,1399.459899,11.98775083,28.15838653,0.221353662,1.036287534,1.038129157,1.003378577,35853.6,150427.2,6331.99,5735,19.3,124,17493.2,5560.5,3306.211302,0
610,1399.650825,11.99602564,29.79580718,0.227962244,1.041087099,1.035883531,1.023095145,35867.5,150436.7,6331.98,5735,19.6,124,17493.25,5520.5,3306.985501,0
849,1399.449263,11.98546425,28.15318538,0.221785262,1.035924667,0.974854182,0.961616429,35852.5,150426.4,6331.98,5735,22.1,124,17492.90833,5219.5,3304.755301,0
681,1399.44857,11.98546425,28.15315017,0.22102096,1.036156775,0.973535883,0.961616429,35852.7,150426.4,6331.97,5735,22.1,124,17493.2,5211.5,3304.717883,0
735,1399.448587,11.98546425,28.15315017,0.22102096,1.036156775,0.973535883,0.961616429,35852.7,150426.4,6331.97,5735,22.1,124,17493.2,5211.5,3304.717883,0
794,1399.449312,11.98546425,28.15315229,0.221782793,1.036156775,0.973535883,0.961616429,35852.7,150426.4,6331.97,5735,22.1,124,17493.2,5211.5,3304.717883,0
686,1399.650825,11.99806989,29.7650524,0.227524596,1.041087099,1.037885337,1.023183162,35867,150436.3,6331.95,5735,19.5,124,17493.25,5532,3307.015285,0
579,1399.449263,11.98546425,28.15315017,0.221785262,1.036479999,0.973609513,0.961616429,35852.4,150425.8,6331.93,5735,22.1,124,17493.2,5210,3304.717883,0
620,1399.449263,11.98546425,28.15315017,0.221785262,1.036479999,0.973609513,0.961616429,35852.4,150425.8,6331.93,5735,22.1,124,17493.2,5210,3304.717883,0
643,1399.449263,11.98546425,28.15315017,0.221776428,1.036479999,0.973609513,0.961616429,35852.4,150425.8,6331.93,5735,22.1,124,17493.2,5210,3304.717883,1
679,1399.449263,11.98546425,28.15315017,0.221785262,1.036479999,0.973609513,0.961616429,35852.4,150425.8,6331.93,5735,22.1,124,17493.2,5210,3304.717883,0
680,1399.449263,11.98546425,28.15315017,0.221785262,1.036479999,0.973609513,0.961616429,35852.4,150425.8,6331.93,5735,22.1,124,17493.2,5210,3304.717883,0
714,1399.449263,11.98546425,28.15315017,0.221785262,1.036479999,0.973609513,0.961616429,35852.4,150425.8,6331.93,5735,22.1,124,17493.2,5210,3304.717883,0
720,1399.449263,11.98546425,28.15315017,0.221785262,1.036479999,0.973609513,0.961616429,35852.4,150425.8,6331.93,5735,22.1,124,17493.2,5210,3304.717883,0
736,1399.449246,11.98562951,28.15315017,0.221785262,1.036479999,0.973609513,0.961616429,35852.4,150425.8,6331.93,5735,22.1,124,17493.2,5210,3304.717883,0
741,1399.449263,11.98546425,28.15315017,0.221775468,1.036479999,0.973609513,0.961616429,35852.4,150425.8,6331.93,5735,22.1,124,17493.2,5210,3304.717883,0
742,1399.449263,11.98546425,28.15315017,0.221786222,1.036479999,0.973609513,0.961616429,35852.4,150425.8,6331.93,5735,22.1,124,17493.2,5210,3304.717883,0
757,1399.449263,11.98546425,28.15315017,0.221785262,1.036479999,0.973609513,0.961616429,35852.4,150425.8,6331.93,5735,22.1,124,17493.2,5210,3304.717883,0
766,1399.449263,11.98546425,28.15315017,0.221785262,1.036479999,0.973609513,0.961616429,35852.4,150425.8,6331.93,5735,22.1,124,17493.2,5210,3304.717883,0
767,1399.449263,11.98546425,28.15315017,0.221775468,1.036479999,0.973609513,0.961616429,35852.4,150425.8,6331.93,5735,22.1,124,17493.2,5210,3304.717883,0
774,1399.449263,11.98546425,28.14556572,0.221785262,1.036479999,0.973609513,0.961616429,35852.4,150425.8,6331.93,5735,22.1,124,17493.2,5210,3304.717883,0
780,1399.449263,11.98546425,28.15315017,0.222578312,1.036479999,0.973609513,0.961616429,35852.4,150425.8,6331.93,5735,22.1,124,17493.2,5210,3304.717883,0
