Altitude,Mach,CL,CD Total,LOD
20000,0.7,0.406276095,0.024392445,16.65581679
20000,0.7,0.507845119,0.027356092,18.56424225
20000,0.7,0.609414143,0.031382417,19.41896773
20000,0.7,0.710983166,0.036498152,19.47997712
20000,0.7,0.81255219,0.042739972,19.01152837
20000,0.7,0.914121214,0.050144028,18.22991192
20000,0.7,1.218828285,0.079634879,15.30520672
20000,0.7,1.439390485,0.108085105,13.3171956
20000,0.75,0,0.022444196,0
20000,0.75,0.101569024,0.021766693,4.666258857
20000,0.75,0.203138048,0.021969197,9.246493989
20000,0.75,0.304707071,0.023057803,13.21492212
20000,0.75,0.406276095,0.025049208,16.21911938
20000,0.75,0.507845119,0.028107224,18.06813505
20000,0.75,0.609414143,0.032476908,18.76453704
20000,0.75,0.710983166,0.037901687,18.75861531
20000,0.75,0.81255219,0.044441223,18.28374953
20000,0.75,0.914121214,0.05212368,17.53754175
20000,0.75,1.218828285,0.081977213,14.86789122
20000,0.75,1.439390485,0.110181539,13.06380813
20000,0.775,0,0.023241942,0
20000,0.775,0.101569024,0.022704035,4.473611144
20000,0.775,0.203138048,0.022906065,8.868308372
20000,0.775,0.304707071,0.023989953,12.7014451
20000,0.775,0.406276095,0.025971199,15.64333225
20000,0.775,0.507845119,0.02906987,17.46981046
20000,0.775,0.609414143,0.033649661,18.11055817
20000,0.775,0.710983166,0.039319852,18.08204075
20000,0.775,0.81255219,0.046061955,17.64041908
20000,0.775,0.914121214,0.053830642,16.98142879
20000,0.775,1.218828285,0.083770397,14.54963004
20000,0.775,1.439390485,0.111768803,12.87828487
20000,0.8,0,0.024673876,0
20000,0.8,0.101569024,0.024150501,4.205669439
20000,0.8,0.203138048,0.024372535,8.33471151
20000,0.8,0.304707071,0.025480428,11.95847538
20000,0.8,0.406276095,0.02748764,14.78031926
20000,0.8,0.507845119,0.030736029,16.52279541
20000,0.8,0.609414143,0.035630934,17.103513
20000,0.8,0.710983166,0.041519995,17.12387408
20000,0.8,0.81255219,0.048439916,16.77443433
20000,0.8,0.914121214,0.056390321,16.2106049
20000,0.8,1.218828285,0.086454147,14.09797363
20000,0.8,1.439390485,0.114348797,12.58771865
20000,0.825,0,0.026994507,0
20000,0.825,0.101569024,0.026492986,3.833808088
20000,0.825,0.203138048,0.026763172,7.590208216
20000,0.825,0.304707071,0.027942924,10.90462369
20000,0.825,0.406276095,0.030044097,13.52265954
20000,0.825,0.507845119,0.03348987,15.16414125
20000,0.825,0.609414143,0.038767437,15.71974291
20000,0.825,0.710983166,0.045009767,15.79619743
20000,0.825,0.81255219,0.052205926,15.56436696
20000,0.825,0.914121214,0.060423298,15.12862165
20000,0.825,1.218828285,0.091315609,13.34742547
20000,0.825,1.439390485,0.11963322,12.03169559
25000,0.2,0,0.026475234,0
25000,0.2,0.101569024,0.025670817,3.956594915
25000,0.2,0.203138048,0.025812863,7.869644216
25000,0.2,0.304707071,0.026925302,11.31675593
25000,0.2,0.406276095,0.029042429,13.98905357
25000,0.2,0.507845119,0.03220537,15.76895775
25000,0.2,0.609414143,0.036477264,16.70668455
25000,0.2,0.710983166,0.04192466,16.9585911
25000,0.2,0.81255219,0.048612862,16.7147573
25000,0.2,0.914121214,0.056605659,16.14893688
25000,0.2,1.218828285,0.089021168,13.69144342
25000,0.2,1.439390485,0.121037444,11.89210907
25000,0.3,0,0.024707519,0
25000,0.3,0.101569024,0.024011866,4.229951308
25000,0.3,0.203138048,0.024237115,8.381280033
25000,0.3,0.304707071,0.025405347,11.99381654
25000,0.3,0.406276095,0.027549043,14.74737598
25000,0.3,0.507845119,0.030705875,16.53902125
25000,0.3,0.609414143,0.034934611,17.44442333
25000,0.3,0.710983166,0.040298346,17.64298629
25000,0.3,0.81255219,0.04685905,17.34034706
25000,0.3,0.914121214,0.054677314,16.7184733
25000,0.3,1.218828285,0.086257593,14.13009849
25000,0.3,1.439390485,0.117347912,12.26600849
25000,0.4,0,0.023713688,0
25000,0.4,0.101569024,0.023019724,4.41226072
25000,0.4,0.203138048,0.023240263,8.740780946
25000,0.4,0.304707071,0.024394849,12.49063157
25000,0.4,0.406276095,0.026513469,15.32338507
25000,0.4,0.507845119,0.029629408,17.13990097
25000,0.4,0.609414143,0.033795197,18.03256667
25000,0.4,0.710983166,0.039069165,18.19806402
25000,0.4,0.81255219,0.045508668,17.85488844
25000,0.4,0.914121214,0.053169868,17.19246724
25000,0.4,1.218828285,0.084022838,14.50591665
25000,0.4,1.439390485,0.114305286,12.59251024
25000,0.5,0,0.022932563,0
25000,0.5,0.101569024,0.022241055,4.566735886
25000,0.5,0.203138048,0.022455902,9.046087216
25000,0.5,0.304707071,0.023593469,12.9148906
25000,0.5,0.406276095,0.02568061,15.82034442
25000,0.5,0.507845119,0.028745719,17.66680872
25000,0.5,0.609414143,0.032833215,18.56090374
25000,0.5,0.710983166,0.03799536,18.71236819
25000,0.5,0.81255219,0.04428369,18.34879139
25000,0.5,0.914121214,0.051748757,17.66460234
25000,0.5,1.218828285,0.081691415,14.91990664
25000,0.5,1.439390485,0.110959975,12.97215942
25000,0.6,0,0.022270534,0
25000,0.6,0.101569024,0.021582745,4.706029006
25000,0.6,0.203138048,0.021791591,9.321854838
25000,0.6,0.304707071,0.022909677,13.30036521
25000,0.6,0.406276095,0.02496015,16.27698932
25000,0.6,0.507845119,0.027966463,18.15907571
25000,0.6,0.609414143,0.031963283,19.06606849
25000,0.6,0.710983166,0.036995426,19.21813702
